2026-01-14 19:23:40,602 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,602 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,602 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,602 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,603 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,603 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,603 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,603 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,604 | WARNING | services.invoice_ingest.usfoods_importer | Catch-weight pricing detected
2026-01-14 19:23:40,604 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,604 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,605 | WARNING | services.invoice_ingest.usfoods_importer | Catch-weight pricing detected
2026-01-14 19:23:40,605 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,605 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,605 | WARNING | services.invoice_ingest.usfoods_importer | Catch-weight pricing detected
2026-01-14 19:23:40,606 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,607 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,608 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,608 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,609 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,609 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,610 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,611 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,627 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,629 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:23:40,631 | INFO | services.invoice_persistence | Persisting invoice
2026-01-14 19:23:40,692 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,694 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:23:40,698 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,704 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,705 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:23:40,708 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,709 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,711 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,717 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,718 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:23:40,721 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,722 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,726 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:23:40,729 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,734 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,735 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:23:40,737 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,742 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:23:40,743 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,749 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:23:40,751 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,752 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,758 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:23:40,763 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,764 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:23:40,766 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,767 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,769 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,774 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,779 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:23:40,781 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,782 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,783 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,787 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,796 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:23:40,798 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,799 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,802 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,804 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,813 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,827 | INFO | services.invoice_ingest.pfs_importer | Starting invoice import
2026-01-14 19:23:40,829 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,829 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,830 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,830 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,834 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,834 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,844 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,844 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,845 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,846 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,847 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,850 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,859 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,859 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,860 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,861 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,861 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,865 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,866 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,875 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,875 | INFO | services.invoice_ingest.pfs_importer | Invoice header parsed
2026-01-14 19:23:40,876 | INFO | services.invoice_persistence | Persisting invoice
2026-01-14 19:23:40,882 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:23:40,883 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,884 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,893 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,897 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,898 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,905 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,907 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:23:40,909 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,912 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,914 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:23:40,922 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,924 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:23:40,926 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,929 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,930 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:23:40,938 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,939 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,941 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,944 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,945 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,952 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:23:40,954 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,957 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,960 | INFO | services.invoice_persistence | Creating Vendor Item
2026-01-14 19:23:40,962 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,968 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:23:40,970 | WARNING | services.invoice_persistence | Vendor item not linked to ingredient yet
2026-01-14 19:26:47,594 | INFO | services.invoice_ingest.usfoods_importer | Starting invoice import
2026-01-14 19:26:47,600 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,600 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,600 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,600 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,601 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,601 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,601 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,601 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,601 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,601 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,602 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,602 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,602 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,602 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,603 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,603 | WARNING | services.invoice_ingest.usfoods_importer | Catch-weight pricing detected
2026-01-14 19:26:47,603 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,603 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,604 | WARNING | services.invoice_ingest.usfoods_importer | Catch-weight pricing detected
2026-01-14 19:26:47,604 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,604 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,604 | WARNING | services.invoice_ingest.usfoods_importer | Catch-weight pricing detected
2026-01-14 19:26:47,605 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,606 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,606 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
2026-01-14 19:26:47,607 | INFO | services.invoice_ingest.usfoods_importer | Invoice header parsed
